method,sequence_count,sequence_pair_count,valid_image_sample_count,pairwise_ray_count,pairwise_mean_deg,pairwise_rms_deg,sample_grid_source
Pixel,3,3,1422,4266,0.13592805983190911,0.2333977179498484,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel/camera_ray_curve_samples.csv
Spherical,3,3,1422,4266,0.13038647330400002,0.22371660524617976,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel/camera_ray_curve_samples.csv
Hybrid,3,3,1422,4266,0.13231644678915158,0.22810082976152754,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel/camera_ray_curve_samples.csv
