dataset,dataset_key,method,overall_rmse,outer_rmse,internal_rmse,holdout_points,attempted_batches,accepted_batches,objective_decreased_batches,guard_hits,geometry_failures,incremental_ba_time_seconds,kalibr_overall_rmse,source_result_dir
Sequence A,1444190,Pixel,0.519331,0.128198,0.551299,2688,0,0,0,0,0,1.22246,0.628373,result_may/stage5_fixed_backend_seed1337_1444190clear_pixel
Sequence A,1444190,Spherical,0.519479,0.1286,0.551444,2688,0,0,0,0,0,5.35268,0.628373,result_may/stage5_fixed_backend_seed1337_1444190clear_spherical
Sequence A,1444190,Hybrid,0.51913,0.129559,0.55104,2688,0,0,0,0,0,6.30515,0.628373,result_may/stage5_fixed_backend_seed1337_1444190clear_hybrid
Sequence B,134853,Pixel,0.504249,0.131951,0.534928,2866,0,0,0,0,0,1.07355,0.566622,result_may/stage5_fixed_backend_seed1337_134853clear_pixel
Sequence B,134853,Spherical,0.503543,0.13462,0.534083,2866,0,0,0,0,0,8.0916,0.566622,result_may/stage5_fixed_backend_seed1337_134853clear_spherical
Sequence B,134853,Hybrid,0.504185,0.137391,0.534675,2866,0,0,0,0,0,9.54445,0.566622,result_may/stage5_fixed_backend_seed1337_134853clear_hybrid
Sequence C,144928,Pixel,0.526938,0.116282,0.559684,3841,0,0,0,0,0,0.741811,0.638565,result_may/stage5_fixed_backend_seed1337_144928clear_pixel
Sequence C,144928,Spherical,0.526932,0.119234,0.559594,3841,0,0,0,0,0,17.5412,0.638565,result_may/stage5_fixed_backend_seed1337_144928clear_spherical
Sequence C,144928,Hybrid,0.526579,0.11614,0.559305,3841,0,0,0,0,0,22.0457,0.638565,result_may/stage5_fixed_backend_seed1337_144928clear_hybrid
