method,holdout_rmse_px,holdout_p95_px,outer_rmse_px,internal_rmse_px,inlier_at_1px_percent,true_angular_rmse_mrad,true_angular_p95_mrad,pose_success_percent,holdout_point_count,incremental_ba_time_seconds,camera_xi,camera_alpha,camera_fu,camera_fv,camera_cu,camera_cv,source_result_dir
Pixel,0.980721,2.01019,0.167113,1.04309,76.73649393605292,0.6663809135431897,1.334104104165555,100.0,907,0.161801,0.302054,0.789303,1886.08,1884.92,2242.63,2275.0,result_may/stage5_angular_closecalib_seed1337_fixed_pixel
Spherical,0.97953,2.00324,0.169185,1.04178,76.62624035281146,0.665174250705785,1.3193087421672614,100.0,907,1.46829,0.298676,0.788567,1882.15,1881.05,2242.65,2274.86,result_may/stage5_angular_closecalib_seed1337_fixed_spherical
