dataset,dataset_key,method,overall_rmse,outer_rmse,internal_rmse,holdout_points,attempted_batches,accepted_batches,objective_decreased_batches,guard_hits,geometry_failures,incremental_ba_time_seconds,kalibr_overall_rmse,source_result_dir
Sequence A,1444190,Pixel,0.519328,0.128241,0.551294,2688,30,18,30,0,0,7.43388,0.628373,result_may/stage5_residual_current_20260713_seed1337_1444190clear_pixel
Sequence A,1444190,Spherical,0.51956,0.128097,0.551547,2688,30,20,30,0,0,29.5119,0.628373,result_may/stage5_residual_current_20260713_seed1337_1444190clear_spherical
Sequence A,1444190,Hybrid,0.519262,0.129552,0.551183,2688,30,21,30,0,0,38.4306,0.628373,result_may/stage5_residual_current_20260713_seed1337_1444190clear_hybrid
Sequence B,134853,Pixel,0.504249,0.131943,0.534928,2866,23,14,23,0,0,7.30322,0.566622,result_may/stage5_residual_current_20260713_seed1337_134853clear_pixel
Sequence B,134853,Spherical,0.503116,0.130517,0.533764,2866,23,14,23,0,0,28.9278,0.566622,result_may/stage5_residual_current_20260713_seed1337_134853clear_spherical
Sequence B,134853,Hybrid,0.503725,0.132967,0.534334,2866,23,14,23,0,0,39.428,0.566622,result_may/stage5_residual_current_20260713_seed1337_134853clear_hybrid
Sequence C,192347,Pixel,0.500844,0.129797,0.531325,3375,35,20,35,0,0,10.9406,0.619577,result_may/stage5_residual_current_20260713_seed1337_192347clear_pixel
Sequence C,192347,Spherical,0.500493,0.127141,0.531037,3375,35,23,35,0,0,36.7951,0.619577,result_may/stage5_residual_current_20260713_seed1337_192347clear_spherical
Sequence C,192347,Hybrid,0.50026,0.131099,0.530658,3375,35,23,35,0,0,51.5757,0.619577,result_may/stage5_residual_current_20260713_seed1337_192347clear_hybrid
