dataset,dataset_key,method,polar_bin_deg,point_count,pixel_rmse,angular_rmse_mrad,bin_assignment_camera,source_result_dir
Sequence A,1444190,Pixel,0--30,852,0.5053671746934328,0.34563544524190276,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_pixel
Sequence A,1444190,Pixel,30--50,1258,0.4857914028086621,0.3265647045150268,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_pixel
Sequence A,1444190,Pixel,50+,578,0.6034507998356677,0.40002568377782266,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_pixel
Sequence A,1444190,Spherical,0--30,852,0.5055721707584712,0.3456577318760143,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_spherical
Sequence A,1444190,Spherical,30--50,1258,0.48581793965357534,0.3265712652202545,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_spherical
Sequence A,1444190,Spherical,50+,578,0.6040794629015289,0.4004157785919014,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_spherical
Sequence A,1444190,Hybrid,0--30,852,0.5051844758316552,0.3454864939892468,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_hybrid
Sequence A,1444190,Hybrid,30--50,1258,0.485345189509463,0.32621328541462385,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_hybrid
Sequence A,1444190,Hybrid,50+,578,0.6041947684392188,0.40080650411560165,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_1444190clear_hybrid
Sequence B,134853,Pixel,0--30,956,0.43684900936879306,0.2999767490944034,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_pixel
Sequence B,134853,Pixel,30--50,1588,0.5238453630848515,0.35413603682929856,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_pixel
Sequence B,134853,Pixel,50+,322,0.5858543120075927,0.3922925115241763,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_pixel
Sequence B,134853,Spherical,0--30,956,0.4368526953536366,0.2999117494881209,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_spherical
Sequence B,134853,Spherical,30--50,1588,0.5225662982116689,0.3532011670800361,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_spherical
Sequence B,134853,Spherical,50+,322,0.582804442288835,0.3900831186735489,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_spherical
Sequence B,134853,Hybrid,0--30,956,0.43689201207815537,0.30009486901918414,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_hybrid
Sequence B,134853,Hybrid,30--50,1588,0.5229944947724273,0.3535194023932281,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_hybrid
Sequence B,134853,Hybrid,50+,322,0.5855003779091282,0.3921145103036144,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_134853clear_hybrid
Sequence C,192347,Pixel,0--30,765,0.505831323736987,0.349415753359173,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_pixel
Sequence C,192347,Pixel,30--50,1881,0.47692982798207384,0.32106320959614054,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_pixel
Sequence C,192347,Pixel,50+,729,0.5530893371826289,0.3653592704421007,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_pixel
Sequence C,192347,Spherical,0--30,765,0.504596387541621,0.34851064853021296,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_spherical
Sequence C,192347,Spherical,30--50,1881,0.47670520610128275,0.32083321842267654,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_spherical
Sequence C,192347,Spherical,50+,729,0.5533038976144177,0.365314032284592,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_spherical
Sequence C,192347,Hybrid,0--30,765,0.5036933676456912,0.3478806784395663,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_hybrid
Sequence C,192347,Hybrid,30--50,1881,0.47688732857761623,0.32100036632191553,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_hybrid
Sequence C,192347,Hybrid,50+,729,0.5527873881025855,0.3648960772608497,shared_stage5_initial_camera,result_may/stage5_residual_current_20260713_seed1337_192347clear_hybrid
