frame_label,board_id
000000_right_184603210240_mono8,1
000000_right_184603210240_mono8,2
000000_right_184603210240_mono8,3
000000_right_184603210240_mono8,4
000000_right_184603210240_mono8,5
000003_right_188003213240_mono8,1
000003_right_188003213240_mono8,2
000003_right_188003213240_mono8,3
000003_right_188003213240_mono8,4
000003_right_188003213240_mono8,5
000004_right_189003211160_mono8,1
000004_right_189003211160_mono8,2
000004_right_189003211160_mono8,3
000004_right_189003211160_mono8,4
000004_right_189003211160_mono8,5
000005_right_190103211080_mono8,1
000005_right_190103211080_mono8,2
000005_right_190103211080_mono8,3
000005_right_190103211080_mono8,4
000005_right_190103211080_mono8,5
000006_right_191203208000_mono8,1
000006_right_191203208000_mono8,2
000006_right_191203208000_mono8,3
000006_right_191203208000_mono8,4
000006_right_191203208000_mono8,5
000007_right_192403211240_mono8,1
000007_right_192403211240_mono8,2
000007_right_192403211240_mono8,3
000007_right_192403211240_mono8,4
000007_right_192403211240_mono8,5
000008_right_193403209160_mono8,1
000008_right_193403209160_mono8,2
000008_right_193403209160_mono8,3
000008_right_193403209160_mono8,4
000008_right_193403209160_mono8,5
000010_right_195503208000_mono8,1
000010_right_195503208000_mono8,2
000010_right_195503208000_mono8,3
000010_right_195503208000_mono8,4
000010_right_195503208000_mono8,5
000011_right_196503211240_mono8,1
000011_right_196503211240_mono8,2
000011_right_196503211240_mono8,3
000011_right_196503211240_mono8,4
000011_right_196503211240_mono8,5
000013_right_199003206000_mono8,1
000013_right_199003206000_mono8,2
000013_right_199003206000_mono8,3
000013_right_199003206000_mono8,4
000013_right_199003206000_mono8,5
000014_right_200003210240_mono8,1
000014_right_200003210240_mono8,2
000014_right_200003210240_mono8,3
000014_right_200003210240_mono8,4
000014_right_200003210240_mono8,5
000015_right_201103204160_mono8,1
000015_right_201103204160_mono8,2
000015_right_201103204160_mono8,3
000015_right_201103204160_mono8,4
000015_right_201103204160_mono8,5
000021_right_207703195000_mono8,1
000021_right_207703195000_mono8,2
000021_right_207703195000_mono8,3
000021_right_207703195000_mono8,4
000021_right_207703195000_mono8,5
000023_right_209903211080_mono8,1
000023_right_209903211080_mono8,2
000023_right_209903211080_mono8,3
000023_right_209903211080_mono8,4
000023_right_209903211080_mono8,5
000027_right_214103207080_mono8,1
000027_right_214103207080_mono8,2
000027_right_214103207080_mono8,3
000027_right_214103207080_mono8,4
000027_right_214103207080_mono8,5
000030_right_217403214160_mono8,1
000030_right_217403214160_mono8,2
000030_right_217403214160_mono8,3
000030_right_217403214160_mono8,4
000030_right_217403214160_mono8,5
000031_right_218403210080_mono8,1
000031_right_218403210080_mono8,2
000031_right_218403210080_mono8,3
000031_right_218403210080_mono8,4
000031_right_218403210080_mono8,5
000039_right_226703206080_mono8,1
000039_right_226703206080_mono8,2
000039_right_226703206080_mono8,3
000039_right_226703206080_mono8,4
000039_right_226703206080_mono8,5
000044_right_232103208240_mono8,1
000044_right_232103208240_mono8,2
000044_right_232103208240_mono8,3
000044_right_232103208240_mono8,4
000044_right_232103208240_mono8,5
000046_right_234403207080_mono8,1
000046_right_234403207080_mono8,2
000046_right_234403207080_mono8,3
000046_right_234403207080_mono8,4
000046_right_234403207080_mono8,5
000047_right_235503210000_mono8,1
000047_right_235503210000_mono8,2
000047_right_235503210000_mono8,3
000047_right_235503210000_mono8,4
000047_right_235503210000_mono8,5
000049_right_237603212160_mono8,1
000049_right_237603212160_mono8,2
000049_right_237603212160_mono8,3
000049_right_237603212160_mono8,4
000049_right_237603212160_mono8,5
000057_right_246203208080_mono8,1
000057_right_246203208080_mono8,2
000057_right_246203208080_mono8,3
000057_right_246203208080_mono8,4
000057_right_246203208080_mono8,5
000059_right_248403207240_mono8,1
000059_right_248403207240_mono8,2
000059_right_248403207240_mono8,3
000059_right_248403207240_mono8,4
000059_right_248403207240_mono8,5
000060_right_249503210160_mono8,1
000060_right_249503210160_mono8,2
000060_right_249503210160_mono8,3
000060_right_249503210160_mono8,4
000060_right_249503210160_mono8,5
000077_right_268403209240_mono8,1
000077_right_268403209240_mono8,2
000077_right_268403209240_mono8,3
000077_right_268403209240_mono8,4
000077_right_268403209240_mono8,5
000081_right_272603204240_mono8,1
000081_right_272603204240_mono8,2
000081_right_272603204240_mono8,3
000081_right_272603204240_mono8,4
000081_right_272603204240_mono8,5
000083_right_274703207080_mono8,1
000083_right_274703207080_mono8,2
000083_right_274703207080_mono8,3
000083_right_274703207080_mono8,4
000083_right_274703207080_mono8,5
000084_right_276003209240_mono8,1
000084_right_276003209240_mono8,2
000084_right_276003209240_mono8,3
000084_right_276003209240_mono8,4
000084_right_276003209240_mono8,5
