frame_label,board_id
000000_right_422303198000_mono8,1
000000_right_422303198000_mono8,2
000000_right_422303198000_mono8,3
000000_right_422303198000_mono8,4
000000_right_422303198000_mono8,5
000001_right_423403198240_mono8,1
000001_right_423403198240_mono8,2
000001_right_423403198240_mono8,3
000001_right_423403198240_mono8,4
000001_right_423403198240_mono8,5
000002_right_424903189080_mono8,1
000002_right_424903189080_mono8,2
000002_right_424903189080_mono8,3
000002_right_424903189080_mono8,4
000002_right_424903189080_mono8,5
000004_right_428103200160_mono8,1
000004_right_428103200160_mono8,2
000004_right_428103200160_mono8,3
000004_right_428103200160_mono8,4
000004_right_428103200160_mono8,5
000007_right_431303195240_mono8,1
000007_right_431303195240_mono8,2
000007_right_431303195240_mono8,3
000007_right_431303195240_mono8,4
000007_right_431303195240_mono8,5
000008_right_432303191160_mono8,1
000008_right_432303191160_mono8,2
000008_right_432303191160_mono8,3
000008_right_432303191160_mono8,4
000008_right_432303191160_mono8,5
000009_right_433603197080_mono8,1
000009_right_433603197080_mono8,2
000009_right_433603197080_mono8,3
000009_right_433603197080_mono8,4
000009_right_433603197080_mono8,5
000017_right_442203207080_mono8,1
000017_right_442203207080_mono8,2
000017_right_442203207080_mono8,3
000017_right_442203207080_mono8,4
000017_right_442203207080_mono8,5
000019_right_444403198240_mono8,1
000019_right_444403198240_mono8,2
000019_right_444403198240_mono8,3
000019_right_444403198240_mono8,4
000019_right_444403198240_mono8,5
000020_right_445603193160_mono8,1
000020_right_445603193160_mono8,2
000020_right_445603193160_mono8,3
000020_right_445603193160_mono8,4
000020_right_445603193160_mono8,5
000034_right_460803198160_mono8,1
000034_right_460803198160_mono8,2
000034_right_460803198160_mono8,3
000034_right_460803198160_mono8,4
000034_right_460803198160_mono8,5
000037_right_464203194240_mono8,1
000037_right_464203194240_mono8,2
000037_right_464203194240_mono8,3
000037_right_464203194240_mono8,4
000037_right_464203194240_mono8,5
000039_right_466403195080_mono8,1
000039_right_466403195080_mono8,2
000039_right_466403195080_mono8,3
000039_right_466403195080_mono8,4
000039_right_466403195080_mono8,5
000046_right_474103194080_mono8,1
000046_right_474103194080_mono8,2
000046_right_474103194080_mono8,3
000046_right_474103194080_mono8,4
000046_right_474103194080_mono8,5
000047_right_475203193000_mono8,1
000047_right_475203193000_mono8,2
000047_right_475203193000_mono8,3
000047_right_475203193000_mono8,4
000047_right_475203193000_mono8,5
000052_right_480699086160_mono8,1
000052_right_480699086160_mono8,2
000052_right_480699086160_mono8,3
000052_right_480699086160_mono8,4
000052_right_480699086160_mono8,5
000058_right_487303197000_mono8,1
000058_right_487303197000_mono8,2
000058_right_487303197000_mono8,3
000058_right_487303197000_mono8,4
000058_right_487303197000_mono8,5
000065_right_494803192000_mono8,1
000065_right_494803192000_mono8,2
000065_right_494803192000_mono8,3
000065_right_494803192000_mono8,4
000065_right_494803192000_mono8,5
