seed,method,mean_holdout_rmse_px,mean_high_polar_angular_rmse_mrad,cross_sequence_ray_rms_deg
1337,Pixel,0.5081403333333333,0.3858924885813666,0.30240451143890196
1337,Spherical,0.507723,0.3852709765166808,0.30815348580260343
1337,Hybrid,0.507749,0.38593903056002193,0.3102708176152629
4242,Pixel,0.5201453333333333,0.3990864048620088,0.761627092291283
4242,Spherical,0.519472,0.39630445519464264,0.7348999166558168
4242,Hybrid,0.5196273333333333,0.3976309912726839,0.7476719146951647
