method,sequence_count,sequence_pair_count,valid_image_sample_count,pairwise_ray_count,pairwise_mean_deg,pairwise_rms_deg,sample_grid_source
Pixel,3,3,1422,4266,0.3613156331618177,0.761627092291283,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel/camera_ray_curve_samples.csv
Spherical,3,3,1422,4266,0.3542496139132753,0.7348999166558168,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel/camera_ray_curve_samples.csv
Hybrid,3,3,1422,4266,0.3621460702111565,0.7476719146951647,result_may/stage5_residual_current_20260713_seed4242_1444190clear_pixel/camera_ray_curve_samples.csv
